A137723: exhaustive scan to 100000000000 plus structural search (even endpoint <= 18446744073709551616) for even n
   n  a(n)                                      L = a(n)-1                      R = a(n)+n                      note
 383  20678048298                               20678048297 (prime)             20678048681 (prime)             new
 384  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 385  35238645588                               35238645587 (prime)             35238645973 (prime)             new
 386  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 387  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 388  25892796286636892                         25892796286636891 (prime)       25892796286637280 (2^5*3^10*5*7*11^6*13*17)  NEW (structural search)
 389  53241805652                               53241805651 (prime)             53241806041 (prime)             new
 390  500292936593049210                        500292936593049209 (prime)      500292936593049600 (2^11*3^7*5^2*7^5*11^2*13^3)  NEW (structural search)
 391  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 392  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 393  22367084960                               22367084959 (prime)             22367085353 (prime)             new
 394  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 395  50806025874                               50806025873 (prime)             50806026269 (prime)             new
 396  3597624643092084                          3597624643092083 (prime)        3597624643092480 (2^16*3^2*5*7^4*11^2*13*17*19)  NEW (structural search)
 397  40267027590                               40267027589 (prime)             40267027987 (prime)             new
 398  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 399  47203303160                               47203303159 (prime)             47203303559 (prime)             new
 400  217949972493052801                        217949972493052800 (2^7*3^7*5^2*7^3*11*13^4*17^2)  217949972493053201 (prime)      NEW (structural search)
 401  44293346178                               44293346177 (prime)             44293346579 (prime)             new
 402  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 403  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 404  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 405  49306638308                               49306638307 (prime)             49306638713 (prime)             new
 406  34558596366336001                         34558596366336000 (2^17*3^16*5^3*7^2)  34558596366336407 (prime)       NEW (structural search)
 407  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 408  13015446444000001                         13015446444000000 (2^8*3^6*5^6*7^4*11*13^2)  13015446444000409 (prime)       NEW (structural search)
 409  98276144094                               98276144093 (prime)             98276144503 (prime)             new
 410  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 411  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 412  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 413  49914935178                               49914935177 (prime)             49914935591 (prime)             new
 414  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 415  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 416  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 417  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 418  14633428996165562                         14633428996165561 (prime)       14633428996165980 (2^2*3*5*7^5*11^2*13^5*17*19)  NEW (structural search)
 419  82490815124                               82490815123 (prime)             82490815543 (prime)             new
 420  50536949682126601                         50536949682126600 (2^3*3^7*5^2*7^2*11^9)  50536949682127021 (prime)       NEW (structural search)
 421  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 422  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 423  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 424  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 425  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 426  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 427  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 428  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 429  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 430  3316510027774943570                       3316510027774943569 (prime)     3316510027774944000 (2^8*3^2*5^3*7^3*11^2*13^3*17^2*19*23)  NEW (structural search)
 431  87241770620                               87241770619 (prime)             87241771051 (prime)             new
 432  259288502457600001                        259288502457600000 (2^11*3^3*5^5*7*11^8)  259288502457600433 (prime)      NEW (structural search)
 433  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 434  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 435  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 436  155448258065099564                        155448258065099563 (prime)      155448258065100000 (2^5*3^10*5^5*7^2*11*13^2*17^2)  NEW (structural search)
 437  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 438  8037225000000001                          8037225000000000 (2^9*3^8*5^11*7^2)  8037225000000439 (prime)        NEW (structural search)
 439  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 440  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 441  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 442  144879387215062058                        144879387215062057 (prime)      144879387215062500 (2^2*3^4*5^6*7^2*11^2*13^6)  NEW (structural search)
 443  36172730064                               36172730063 (prime)             36172730507 (prime)             new
 444  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 445  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 446  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 447  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 448  73234715264670961                         73234715264670960 (2^4*3^7*5*7*11^5*13^5)  73234715264671409 (prime)       NEW (structural search)
 449  63816175448                               63816175447 (prime)             63816175897 (prime)             new
 450  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 451  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 452  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 453  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 454  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 455  25056082088                               25056082087 (prime)             25056082543 (prime)             new
 456  1316768331068190001                       1316768331068190000 (2^4*3^11*5^4*7*11^3*13*17*19^2)  1316768331068190457 (prime)     NEW (structural search)
 457  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 458  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 459  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 460  27100758877592401                         27100758877592400 (2^4*3^3*5^2*7^4*11^4*13*17^2*19)  27100758877592861 (prime)       NEW (structural search)
 461  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 462  391411311509918701                        391411311509918700 (2^2*3^9*5^2*7*11^3*13^2*17^2*19*23)  391411311509919163 (prime)      NEW (structural search)
 463  42652618344                               42652618343 (prime)             42652618807 (prime)             new

Consecutive terms known: a(1..49)
DATA: 10, 33, 20, 55, 84, 114, 390, 513, 182, 200, 468, 2941, 774, 65522, 1832, 1261, 1130, 1332, 1638, 524289, 1952, 4298, 4524, 69960, 5120, 16385, 2972, 4832, 5352, 10801, 5592, 18014398509481952, 8468, 1119745, 9552, 69264, 39462, 33554394, 20810, 74960, 38502, 107521, 15684, 274877906900, 81464, 214994, 28230, 124368, 31908
(18 terms beyond the current OEIS entry)
Unknown n up to 463: 50 62 74 98 104 116 122 140 146 152 154 164 170 176 182 188 194 200 204 206 212 214 218 224 230 234 236 242 244 248 254 260 264 266 272 274 278 284 290 294 ... (110 total)
